Node 1
;time (s);Interarrival;Wait;Delay;Service;# in node;# in queue;Utilizzation;ploss;
;21.60; 0.472356;2.924959;0.749069;2.175890;3.672154;0.940423;0.546346;0.0000;
;43.20; 0.502251;3.083714;0.663177;2.420536;5.189809;1.116110;0.814740;0.0000;
;64.80; 0.489785;3.726430;1.322980;2.403450;5.655967;2.008016;0.729590;0.0000;
;86.40; 0.531843;3.595268;1.288329;2.306939;5.650565;2.024824;0.725148;0.0000;
;108.00; 0.543733;3.384903;1.118695;2.266208;5.669238;1.873657;0.759116;0.0000;
;129.60; 0.548345;3.094356;0.932271;2.162085;4.998519;1.505960;0.698512;0.0000;
;151.20; 0.544998;3.029021;0.847984;2.181037;5.221814;1.461863;0.751990;0.0000;
;172.80; 0.540465;2.978509;0.880960;2.097548;5.316665;1.572522;0.748829;0.0000;
;194.40; 0.537529;2.927896;0.807035;2.120861;5.219617;1.438717;0.756180;0.0000;
;216.00; 0.522460;3.308588;1.130235;2.178353;5.852065;1.999103;0.770593;0.0000;
;237.60; 0.524335;3.584064;1.424696;2.159369;6.457653;2.566971;0.778136;0.0000;
;259.20; 0.526637;3.473882;1.336896;2.136986;6.335925;2.438331;0.779519;0.0000;
;280.80; 0.520252;3.378292;1.291081;2.087212;6.041905;2.309033;0.746574;0.0000;
;302.40; 0.520031;3.358703;1.277315;2.081387;6.128785;2.330778;0.759601;0.0000;
;324.00; 0.517230;3.294839;1.212106;2.082732;5.990985;2.203966;0.757404;0.0000;
;345.60; 0.520349;3.261525;1.164985;2.096540;6.079472;2.171529;0.781589;0.0000;
;367.20; 0.525165;3.188187;1.108139;2.080048;5.871514;2.040800;0.766143;0.0000;
;388.80; 0.525384;3.134622;1.064942;2.069680;5.848071;1.986797;0.772255;0.0000;
;410.40; 0.524098;3.063903;1.014430;2.049473;5.730111;1.897187;0.766585;0.0000;
;432.00; 0.515739;3.042469;1.013878;2.028591;5.687235;1.895224;0.758402;0.0000;
;453.60; 0.518565;3.069573;1.028261;2.041312;5.766566;1.931713;0.766971;0.0000;
;475.20; 0.520452;3.044530;1.001717;2.042813;5.705414;1.877206;0.765642;0.0000;
;496.80; 0.521632;3.017710;0.973413;2.044297;5.650325;1.822608;0.765544;0.0000;
