Node 1
;time (s);Interarrival;Wait;Delay;Service;# in node;# in queue;Utilizzation;ploss;
;1447.20; 0.511926;6.082379;4.137036;1.945343;11.741711;7.986330;0.938845;0.0000;
;1468.80; 0.511917;6.086292;4.142129;1.944163;11.747587;7.995019;0.938142;0.0000;
;1490.40; 0.514385;6.055671;4.113402;1.942269;11.631956;7.901174;0.932695;0.0000;
;1512.00; 0.513200;5.996727;4.058416;1.938311;11.547015;7.814695;0.933080;0.0000;
;1533.60; 0.513664;5.943503;4.009009;1.934494;11.439657;7.716273;0.930846;0.0000;
;1555.20; 0.513837;5.883177;3.955861;1.927316;11.378526;7.650945;0.931895;0.0000;
;1576.80; 0.515184;5.845834;3.917837;1.927997;11.232502;7.527945;0.926139;0.0000;
;1598.40; 0.516994;5.812336;3.883489;1.928847;11.163182;7.458635;0.926137;0.0000;
;1620.00; 0.518981;5.783495;3.853161;1.930334;11.045960;7.359194;0.921692;0.0000;
;1641.60; 0.517538;5.799882;3.866047;1.933835;11.054855;7.368873;0.921496;0.0000;
;1663.20; 0.516438;5.909351;3.970154;1.939198;11.263274;7.567146;0.924032;0.0000;
;1684.80; 0.516631;6.011378;4.076090;1.935288;11.492392;7.792560;0.924958;0.0000;
;1706.40; 0.517273;6.034160;4.097201;1.936959;11.467069;7.786152;0.920229;0.0000;
;1728.00; 0.517066;6.057751;4.119466;1.938285;11.493710;7.816094;0.919404;0.0000;
;1749.60; 0.518221;6.033824;4.100819;1.933006;11.473003;7.797493;0.918878;0.0000;
;1771.20; 0.517652;6.030484;4.090755;1.939729;11.453522;7.769451;0.921018;0.0000;
;1792.80; 0.517406;6.073707;4.131095;1.942612;11.548256;7.854667;0.923397;0.0000;
;1814.40; 0.518245;6.069723;4.130616;1.939108;11.490647;7.819705;0.917735;0.0000;
;1836.00; 0.518417;6.062066;4.120440;1.941626;11.472173;7.797738;0.918609;0.0000;
;1857.60; 0.517768;6.034103;4.091128;1.942975;11.403318;7.731462;0.917964;0.0000;
;1879.20; 0.518948;6.011624;4.066043;1.945581;11.314280;7.652565;0.915429;0.0000;
;1900.80; 0.519045;5.986848;4.046741;1.940108;11.313601;7.647297;0.916576;0.0000;
;1922.40; 0.519441;5.954281;4.013137;1.941144;11.232659;7.570721;0.915484;0.0000;
;1944.00; 0.518878;5.912448;3.976731;1.935717;11.169213;7.512447;0.914191;0.0000;
;1965.60; 0.520137;5.874511;3.940676;1.933836;11.048628;7.411520;0.909277;0.0000;
;1987.20; 0.519345;5.875748;3.938319;1.937429;11.062083;7.414547;0.911884;0.0000;
;2008.80; 0.519045;5.874260;3.937886;1.936375;11.083804;7.430170;0.913408;0.0000;
;2030.40; 0.517993;5.897726;3.958545;1.939182;11.133378;7.472706;0.915168;0.0000;
;2052.00; 0.519577;5.891524;3.954087;1.937437;11.145261;7.480124;0.916284;0.0000;
;2073.60; 0.519658;5.857238;3.920335;1.936903;10.998608;7.361529;0.909270;0.0000;
;2095.20; 0.518654;5.840047;3.904400;1.935647;10.966119;7.331468;0.908663;0.0000;
;2116.80; 0.519178;5.851764;3.915038;1.936726;10.924235;7.308701;0.903884;0.0000;
;2138.40; 0.519198;5.842905;3.904647;1.938259;10.900387;7.284417;0.903992;0.0000;
;2160.00; 0.518911;5.828278;3.891507;1.936771;10.944634;7.307668;0.909242;0.0000;
;2181.60; 0.518640;5.797406;3.863079;1.934328;10.824840;7.213089;0.902938;0.0000;
;2203.20; 0.517828;5.789385;3.854763;1.934622;10.807211;7.195796;0.902854;0.0000;
;2224.80; 0.518123;5.777926;3.841859;1.936067;10.826023;7.198439;0.906896;0.0000;
;2246.40; 0.518075;5.759030;3.820587;1.938443;10.762067;7.139642;0.905606;0.0000;
;2268.00; 0.518502;5.764535;3.824081;1.940454;10.764511;7.140968;0.905886;0.0000;
;2289.60; 0.517095;5.808591;3.863809;1.944782;10.911496;7.258204;0.913323;0.0000;
;2311.20; 0.517500;5.858539;3.910903;1.947636;10.986224;7.333919;0.913076;0.0000;
;2332.80; 0.517097;5.951869;4.004361;1.947508;11.170959;7.515715;0.913811;0.0000;
;2354.40; 0.516698;6.037344;4.087139;1.950205;11.290731;7.643558;0.911793;0.0000;
;2376.00; 0.517479;6.119446;4.169646;1.949800;11.499723;7.835640;0.916021;0.0000;
;2397.60; 0.517189;6.179816;4.231655;1.948161;11.549451;7.908534;0.910229;0.0000;
;2419.20; 0.517044;6.227112;4.276879;1.950233;11.636658;7.992240;0.911104;0.0000;
;2440.80; 0.517497;6.271673;4.318881;1.952792;11.734563;8.080807;0.913439;0.0000;
;2462.40; 0.517491;6.329359;4.375238;1.954121;11.907814;8.231406;0.919102;0.0000;
;2484.00; 0.518225;6.360934;4.406479;1.954455;11.969460;8.291734;0.919432;0.0000;
;2505.60; 0.517852;6.397369;4.443219;1.954150;12.026402;8.352799;0.918401;0.0000;
;2527.20; 0.517163;6.438744;4.483466;1.955278;12.078284;8.410425;0.916965;0.0000;
;2548.80; 0.517499;6.474766;4.516738;1.958028;12.156985;8.480602;0.919096;0.0000;
;2570.40; 0.517248;6.524010;4.567631;1.956379;12.246658;8.574208;0.918113;0.0000;
;2592.00; 0.516950;6.538088;4.584009;1.954079;12.308889;8.630055;0.919709;0.0000;
;2613.60; 0.516384;6.545031;4.591864;1.953166;12.374457;8.681675;0.923196;0.0000;
;2635.20; 0.516893;6.550791;4.596594;1.954197;12.394786;8.697240;0.924386;0.0000;
;2656.80; 0.516062;6.575273;4.617045;1.958227;12.405492;8.710927;0.923641;0.0000;
;2678.40; 0.516366;6.600658;4.644081;1.956578;12.513047;8.803910;0.927284;0.0000;
;2700.00; 0.516341;6.616168;4.661359;1.954809;12.465846;8.782695;0.920788;0.0000;
;2721.60; 0.515351;6.648606;4.685458;1.963148;12.582276;8.867080;0.928799;0.0000;
;2743.20; 0.515002;6.763773;4.802337;1.961436;12.758570;9.058695;0.924969;0.0000;
;2764.80; 0.515865;6.815179;4.855235;1.959945;12.857462;9.159846;0.924404;0.0000;
;2786.40; 0.515638;6.863807;4.900942;1.962866;12.999222;9.281791;0.929358;0.0000;
;2808.00; 0.515869;6.941259;4.974781;1.966478;13.142424;9.419139;0.930821;0.0000;
;2829.60; 0.516221;7.021017;5.055176;1.965841;13.249476;9.539705;0.927443;0.0000;
;2851.20; 0.515674;7.091008;5.126629;1.964379;13.346008;9.648844;0.924291;0.0000;
;2872.80; 0.515330;7.163149;5.196655;1.966494;13.443865;9.753131;0.922683;0.0000;
;2894.40; 0.515220;7.248061;5.281290;1.966771;13.640237;9.938941;0.925324;0.0000;
;2916.00; 0.515817;7.300415;5.333593;1.966822;13.803163;10.084420;0.929686;0.0000;
;2937.60; 0.515923;7.350588;5.382528;1.968059;13.926058;10.197471;0.932147;0.0000;
;2959.20; 0.516510;7.381707;5.412284;1.969423;13.942271;10.222504;0.929942;0.0000;
;2980.80; 0.516917;7.380718;5.412941;1.967777;13.968079;10.244042;0.931009;0.0000;
;3002.40; 0.516046;7.401896;5.431238;1.970657;13.931947;10.222750;0.927299;0.0000;
;3024.00; 0.515612;7.497364;5.522816;1.974548;14.142273;10.417685;0.931147;0.0000;
;3045.60; 0.515269;7.602966;5.628990;1.973976;14.375465;10.643129;0.933084;0.0000;
;3067.20; 0.516170;7.651545;5.679545;1.972000;14.438040;10.716986;0.930263;0.0000;
;3088.80; 0.515765;7.695248;5.721530;1.973719;14.552781;10.820205;0.933144;0.0000;
;3110.40; 0.516732;7.727928;5.756547;1.971381;14.573724;10.855993;0.929433;0.0000;
;3132.00; 0.517164;7.719200;5.747294;1.971906;14.521468;10.811891;0.927394;0.0000;
;3153.60; 0.517745;7.693810;5.720649;1.973160;14.466837;10.756661;0.927544;0.0000;
;3175.20; 0.518030;7.663739;5.690797;1.972942;14.399414;10.692449;0.926741;0.0000;
;3196.80; 0.517977;7.630174;5.657405;1.972770;14.290094;10.595413;0.923670;0.0000;
;3218.40; 0.518390;7.602117;5.629222;1.972895;14.266287;10.563912;0.925594;0.0000;
;3240.00; 0.519377;7.583274;5.606745;1.976529;14.252440;10.537638;0.928700;0.0000;
;3261.60; 0.519380;7.558370;5.581709;1.976661;14.250722;10.523880;0.931710;0.0000;
;3283.20; 0.519733;7.529814;5.553804;1.976010;14.181095;10.459624;0.930368;0.0000;
;3304.80; 0.519515;7.521155;5.540969;1.980186;14.148920;10.423761;0.931290;0.0000;
;3326.40; 0.519781;7.513825;5.534243;1.979582;14.122994;10.402169;0.930206;0.0000;
;3348.00; 0.520007;7.491449;5.511883;1.979567;14.102149;10.375748;0.931600;0.0000;
;3369.60; 0.520547;7.469832;5.490849;1.978982;14.023778;10.308459;0.928830;0.0000;
;3391.20; 0.521591;7.444121;5.465905;1.978216;13.975111;10.261336;0.928444;0.0000;
;3412.80; 0.521849;7.416945;5.437851;1.979094;13.895378;10.187617;0.926940;0.0000;
;3434.40; 0.522029;7.383239;5.406030;1.977209;13.872870;10.157758;0.928778;0.0000;
;3456.00; 0.521822;7.357827;5.379038;1.978789;13.850146;10.125334;0.931203;0.0000;
;3477.60; 0.521880;7.347857;5.369239;1.978617;13.851176;10.121357;0.932455;0.0000;
;3499.20; 0.522222;7.335369;5.355677;1.979693;13.806131;10.080088;0.931511;0.0000;
;3520.80; 0.522618;7.312253;5.332292;1.979960;13.798533;10.062263;0.934067;0.0000;
;3542.40; 0.522693;7.283746;5.302717;1.981029;13.731408;9.996747;0.933665;0.0000;
;3564.00; 0.522640;7.256441;5.278322;1.978119;13.675997;9.947895;0.932025;0.0000;
;3585.60; 0.522728;7.229089;5.250779;1.978310;13.650243;9.914722;0.933880;0.0000;
;3607.20; 0.523079;7.210995;5.232754;1.978241;13.610388;9.876558;0.933457;0.0000;
;3628.80; 0.522942;7.201613;5.221198;1.980415;13.614988;9.870921;0.936017;0.0000;
;3650.40; 0.523229;7.180926;5.202332;1.978594;13.598145;9.851385;0.936690;0.0000;
;3672.00; 0.523150;7.164112;5.183903;1.980209;13.550234;9.804857;0.936344;0.0000;
;3693.60; 0.523228;7.157982;5.178147;1.979835;13.565071;9.813091;0.937995;0.0000;
;3715.20; 0.523480;7.152202;5.170818;1.981384;13.581019;9.818652;0.940592;0.0000;
;3736.80; 0.523624;7.128189;5.146531;1.981658;13.533101;9.770858;0.940561;0.0000;
;3758.40; 0.523887;7.102670;5.122718;1.979953;13.482533;9.724119;0.939604;0.0000;
;3780.00; 0.523928;7.090635;5.109831;1.980804;13.471351;9.708063;0.940822;0.0000;
;3801.60; 0.523928;7.074996;5.094065;1.980931;13.419710;9.662320;0.939347;0.0000;
;3823.20; 0.524412;7.050975;5.072512;1.978463;13.369667;9.618216;0.937863;0.0000;
;3844.80; 0.525169;7.034936;5.055491;1.979445;13.301640;9.558911;0.935682;0.0000;
;3866.40; 0.524966;7.009820;5.030882;1.978938;13.297500;9.543491;0.938502;0.0000;
