Node 1
;time (s);Interarrival;Wait;Delay;Service;# in node;# in queue;Utilizzation;ploss;
;1447.20; 0.514109;3.108815;1.073552;2.035263;6.016028;2.077486;0.787708;0.0000;
;1468.80; 0.516709;3.097540;1.062975;2.034565;5.956684;2.044140;0.782509;0.0000;
;1490.40; 0.517117;3.084882;1.051415;2.033466;5.917708;2.016923;0.780157;0.0000;
;1512.00; 0.518140;3.071669;1.039244;2.032425;5.878159;1.988769;0.777878;0.0000;
;1533.60; 0.516884;3.066513;1.035829;2.030684;5.888547;1.989077;0.779894;0.0000;
;1555.20; 0.517808;3.050121;1.023920;2.026201;5.850181;1.963895;0.777257;0.0000;
;1576.80; 0.519171;3.038796;1.012785;2.026010;5.814214;1.937791;0.775285;0.0000;
;1598.40; 0.520891;3.030856;1.003484;2.027373;5.772805;1.911313;0.772298;0.0000;
;1620.00; 0.522382;3.017722;0.993757;2.023965;5.738369;1.889686;0.769737;0.0000;
;1641.60; 0.521572;2.999724;0.981214;2.018510;5.723617;1.872203;0.770283;0.0000;
;1663.20; 0.519963;3.001995;0.980764;2.021231;5.705733;1.864085;0.768330;0.0000;
;1684.80; 0.519591;3.004689;0.987619;2.017070;5.739221;1.886439;0.770556;0.0000;
;1706.40; 0.521481;2.992938;0.978367;2.014571;5.701915;1.863910;0.767601;0.0000;
;1728.00; 0.520925;2.978506;0.967783;2.010723;5.662145;1.839757;0.764478;0.0000;
;1749.60; 0.520845;2.969444;0.957207;2.012237;5.676038;1.829684;0.769271;0.0000;
;1771.20; 0.519377;2.978685;0.964594;2.014091;5.707614;1.848308;0.771861;0.0000;
;1792.80; 0.519008;2.994649;0.978879;2.015770;5.723828;1.870982;0.770569;0.0000;
;1814.40; 0.520484;2.987371;0.971684;2.015687;5.697858;1.853307;0.768910;0.0000;
;1836.00; 0.520222;2.976255;0.960704;2.015551;5.674742;1.831748;0.768599;0.0000;
;1857.60; 0.521595;2.975077;0.956500;2.018577;5.685993;1.828072;0.771584;0.0000;
;1879.20; 0.523694;2.972846;0.950770;2.022076;5.622750;1.798257;0.764899;0.0000;
;1900.80; 0.523090;2.969437;0.948104;2.021334;5.643036;1.801750;0.768257;0.0000;
