Node 1
;time (s);Interarrival;Wait;Delay;Service;# in node;# in queue;Utilizzation;ploss;
;1447.20; 0.511926;2.661609;0.716266;1.945343;5.162359;1.389244;0.754623;0.0000;
;1468.80; 0.511917;2.653255;0.709092;1.944163;5.119883;1.368307;0.750315;0.0000;
;1490.40; 0.514385;2.644646;0.702378;1.942269;5.096737;1.353615;0.748624;0.0000;
;1512.00; 0.513200;2.632185;0.693874;1.938311;5.105858;1.345963;0.751979;0.0000;
;1533.60; 0.513664;2.620627;0.686133;1.934494;5.067130;1.326677;0.748091;0.0000;
;1555.20; 0.513837;2.604161;0.676845;1.927316;5.034336;1.308469;0.745173;0.0000;
;1576.80; 0.515184;2.598568;0.670572;1.927997;5.009826;1.292807;0.743404;0.0000;
;1598.40; 0.516994;2.592962;0.664115;1.928847;4.990111;1.278079;0.742406;0.0000;
;1620.00; 0.518981;2.589638;0.659304;1.930334;4.943806;1.258659;0.737030;0.0000;
;1641.60; 0.517538;2.599715;0.665880;1.933835;4.927023;1.261988;0.733007;0.0000;
;1663.20; 0.516438;2.631075;0.691877;1.939198;5.053713;1.328943;0.744954;0.0000;
;1684.80; 0.516631;2.629448;0.694160;1.935288;5.037415;1.329850;0.741513;0.0000;
;1706.40; 0.517273;2.624800;0.687841;1.936959;4.998990;1.310008;0.737796;0.0000;
;1728.00; 0.517066;2.622044;0.683759;1.938285;5.044289;1.315415;0.745775;0.0000;
;1749.60; 0.518221;2.610379;0.677373;1.933006;5.019541;1.302532;0.743402;0.0000;
;1771.20; 0.517652;2.621631;0.681901;1.939729;5.010398;1.303233;0.741433;0.0000;
;1792.80; 0.517406;2.646093;0.703481;1.942612;5.070564;1.348043;0.744504;0.0000;
;1814.40; 0.518245;2.635606;0.696498;1.939108;5.067104;1.339057;0.745609;0.0000;
;1836.00; 0.518417;2.638137;0.696512;1.941626;5.068588;1.338191;0.746079;0.0000;
;1857.60; 0.517768;2.634536;0.691562;1.942975;5.038192;1.322517;0.743135;0.0000;
;1879.20; 0.518948;2.634647;0.689066;1.945581;5.024836;1.314196;0.742128;0.0000;
;1900.80; 0.519045;2.630486;0.690378;1.940108;5.040074;1.322781;0.743458;0.0000;
;1922.40; 0.519441;2.626910;0.685767;1.941144;5.009413;1.307730;0.740337;0.0000;
;1944.00; 0.518878;2.615941;0.680224;1.935717;5.007012;1.301975;0.741007;0.0000;
;1965.60; 0.520137;2.608177;0.674341;1.933836;4.983922;1.288587;0.739067;0.0000;
;1987.20; 0.519345;2.615888;0.678459;1.937429;5.009428;1.299249;0.742036;0.0000;
;2008.80; 0.519045;2.610573;0.674198;1.936375;5.011821;1.294337;0.743497;0.0000;
;2030.40; 0.517993;2.615687;0.676505;1.939182;5.016041;1.297318;0.743745;0.0000;
;2052.00; 0.519577;2.608802;0.671364;1.937437;4.989229;1.283958;0.741054;0.0000;
;2073.60; 0.519658;2.602172;0.665269;1.936903;4.980055;1.273196;0.741372;0.0000;
;2095.20; 0.518654;2.607649;0.672003;1.935647;4.994342;1.287064;0.741456;0.0000;
;2116.80; 0.519178;2.609079;0.672352;1.936726;4.994884;1.287168;0.741543;0.0000;
;2138.40; 0.519198;2.609730;0.671471;1.938259;4.990733;1.284092;0.741328;0.0000;
;2160.00; 0.518911;2.603189;0.666418;1.936771;4.999514;1.279878;0.743927;0.0000;
;2181.60; 0.518640;2.598709;0.664381;1.934328;4.982320;1.273771;0.741710;0.0000;
;2203.20; 0.517828;2.596139;0.661517;1.934622;4.985308;1.270297;0.743002;0.0000;
;2224.80; 0.518123;2.594815;0.658747;1.936067;4.976133;1.263294;0.742568;0.0000;
;2246.40; 0.518075;2.595137;0.656694;1.938443;4.980811;1.260384;0.744085;0.0000;
;2268.00; 0.518502;2.598641;0.658187;1.940454;4.980094;1.261364;0.743746;0.0000;
;2289.60; 0.517095;2.625281;0.680499;1.944782;5.038512;1.306033;0.746496;0.0000;
;2311.20; 0.517500;2.632486;0.684850;1.947636;5.062282;1.316969;0.749063;0.0000;
;2332.80; 0.517097;2.637764;0.690256;1.947508;5.064271;1.325229;0.747808;0.0000;
;2354.40; 0.516698;2.641888;0.691683;1.950205;5.087418;1.331957;0.751092;0.0000;
;2376.00; 0.517479;2.638818;0.689019;1.949800;5.064076;1.322275;0.748360;0.0000;
;2397.60; 0.517189;2.632655;0.684494;1.948161;5.053770;1.313987;0.747957;0.0000;
;2419.20; 0.517044;2.634483;0.684251;1.950233;5.062757;1.314942;0.749563;0.0000;
;2440.80; 0.517497;2.633545;0.680753;1.952792;5.048171;1.304917;0.748651;0.0000;
;2462.40; 0.517491;2.632266;0.678146;1.954121;5.059198;1.303391;0.751161;0.0000;
;2484.00; 0.518225;2.629760;0.675305;1.954455;5.055327;1.298174;0.751431;0.0000;
;2505.60; 0.517852;2.627061;0.672911;1.954150;5.051485;1.293917;0.751514;0.0000;
;2527.20; 0.517163;2.624963;0.669684;1.955278;5.056420;1.290001;0.753284;0.0000;
;2548.80; 0.517499;2.622822;0.664793;1.958028;5.045890;1.278956;0.753387;0.0000;
;2570.40; 0.517248;2.619490;0.663111;1.956379;5.047850;1.277839;0.754002;0.0000;
;2592.00; 0.516950;2.613042;0.658963;1.954079;5.033509;1.269362;0.752829;0.0000;
;2613.60; 0.516384;2.607296;0.654129;1.953166;5.032821;1.262655;0.754033;0.0000;
;2635.20; 0.516893;2.604919;0.650722;1.954197;5.009934;1.251507;0.751685;0.0000;
;2656.80; 0.516062;2.617701;0.659474;1.958227;5.040859;1.269937;0.754184;0.0000;
;2678.40; 0.516366;2.617550;0.660972;1.956578;5.054690;1.276388;0.755660;0.0000;
;2700.00; 0.516341;2.613752;0.658943;1.954809;5.023947;1.266568;0.751476;0.0000;
;2721.60; 0.515351;2.634898;0.671750;1.963148;5.077133;1.294382;0.756550;0.0000;
;2743.20; 0.515002;2.692274;0.730838;1.961436;5.178761;1.405814;0.754590;0.0000;
;2764.80; 0.515865;2.688076;0.728131;1.959945;5.146831;1.394145;0.750537;0.0000;
;2786.40; 0.515638;2.693966;0.731100;1.962866;5.183725;1.406781;0.755389;0.0000;
;2808.00; 0.515869;2.706034;0.739556;1.966478;5.225311;1.428071;0.759448;0.0000;
;2829.60; 0.516221;2.701692;0.735851;1.965841;5.215868;1.420629;0.759048;0.0000;
;2851.20; 0.515674;2.698555;0.734176;1.964379;5.215581;1.418964;0.759323;0.0000;
;2872.80; 0.515330;2.697305;0.730811;1.966494;5.210808;1.411823;0.759797;0.0000;
;2894.40; 0.515220;2.698349;0.731578;1.966771;5.211377;1.412912;0.759693;0.0000;
;2916.00; 0.515817;2.695175;0.728353;1.966822;5.209773;1.407906;0.760373;0.0000;
;2937.60; 0.515923;2.693921;0.725862;1.968059;5.199950;1.401097;0.759771;0.0000;
;2959.20; 0.516510;2.693596;0.724173;1.969423;5.173922;1.391008;0.756583;0.0000;
;2980.80; 0.516917;2.687474;0.719697;1.967777;5.187039;1.389072;0.759593;0.0000;
;3002.40; 0.516046;2.690370;0.719713;1.970657;5.190608;1.388563;0.760409;0.0000;
;3024.00; 0.515612;2.725185;0.750637;1.974548;5.255729;1.447661;0.761614;0.0000;
;3045.60; 0.515269;2.737274;0.763298;1.973976;5.288883;1.474823;0.762812;0.0000;
;3067.20; 0.516170;2.731324;0.759325;1.972000;5.275890;1.466730;0.761832;0.0000;
;3088.80; 0.515765;2.731425;0.757707;1.973719;5.265103;1.460557;0.760909;0.0000;
;3110.40; 0.516732;2.725243;0.753862;1.971381;5.256287;1.454005;0.760456;0.0000;
;3132.00; 0.517164;2.721703;0.749797;1.971906;5.228912;1.440504;0.757682;0.0000;
;3153.60; 0.517745;2.719086;0.745926;1.973160;5.233959;1.435830;0.759626;0.0000;
;3175.20; 0.518030;2.715479;0.742537;1.972942;5.222996;1.428207;0.758958;0.0000;
;3196.80; 0.517977;2.711118;0.738349;1.972770;5.210220;1.418957;0.758253;0.0000;
;3218.40; 0.518390;2.707988;0.735092;1.972895;5.200282;1.411634;0.757730;0.0000;
;3240.00; 0.519377;2.708589;0.732060;1.976529;5.202698;1.406151;0.759309;0.0000;
;3261.60; 0.519380;2.706796;0.730135;1.976661;5.190667;1.400138;0.758106;0.0000;
;3283.20; 0.519733;2.703067;0.727057;1.976010;5.182976;1.394090;0.757777;0.0000;
;3304.80; 0.519515;2.713484;0.733298;1.980186;5.208146;1.407461;0.760137;0.0000;
;3326.40; 0.519781;2.711436;0.731854;1.979582;5.190748;1.401055;0.757939;0.0000;
;3348.00; 0.520007;2.709301;0.729734;1.979567;5.188808;1.397575;0.758247;0.0000;
;3369.60; 0.520547;2.706536;0.727553;1.978982;5.181129;1.392758;0.757674;0.0000;
;3391.20; 0.521591;2.702412;0.724196;1.978216;5.168482;1.385057;0.756685;0.0000;
;3412.80; 0.521849;2.699711;0.720616;1.979094;5.158398;1.376898;0.756300;0.0000;
;3434.40; 0.522029;2.693644;0.716435;1.977209;5.149818;1.369709;0.756022;0.0000;
;3456.00; 0.521822;2.693750;0.714961;1.978789;5.142146;1.364801;0.755469;0.0000;
;3477.60; 0.521880;2.692684;0.714066;1.978617;5.136516;1.362141;0.754875;0.0000;
;3499.20; 0.522222;2.691076;0.711383;1.979693;5.139932;1.358735;0.756239;0.0000;
;3520.80; 0.522618;2.688207;0.708247;1.979960;5.126761;1.350719;0.755208;0.0000;
