Node 1
;time (s);Interarrival;Wait;Delay;Service;# in node;# in queue;Utilizzation;ploss;
;21.60; 0.472356;4.102636;1.926747;2.175890;4.327388;2.032298;0.573772;0.0000;
;43.20; 0.502251;4.873603;2.453067;2.420536;5.483923;2.760264;0.680915;0.0000;
;64.80; 0.489785;7.583684;5.180234;2.403450;9.975774;6.814214;0.790390;0.0000;
;86.40; 0.531843;8.741390;6.434450;2.306939;11.332124;8.341464;0.747665;0.0000;
;108.00; 0.543733;8.517472;6.251264;2.266208;11.566810;8.489278;0.769383;0.0000;
;129.60; 0.548345;7.457372;5.295287;2.162085;10.584873;7.516045;0.767207;0.0000;
;151.20; 0.544998;6.877701;4.696663;2.181037;10.259241;7.005859;0.813345;0.0000;
;172.80; 0.540465;6.750695;4.653146;2.097548;10.264201;7.074950;0.797313;0.0000;
;194.40; 0.537529;6.399345;4.278484;2.120861;10.389372;6.946143;0.860807;0.0000;
;216.00; 0.522460;6.965319;4.786966;2.178353;11.768780;8.088179;0.920150;0.0000;
;237.60; 0.524335;7.859243;5.699874;2.159369;13.187683;9.564297;0.905847;0.0000;
;259.20; 0.526637;8.363111;6.226125;2.136986;13.850089;10.311042;0.884762;0.0000;
;280.80; 0.520252;8.654835;6.567623;2.087212;14.905501;11.310870;0.898658;0.0000;
;302.40; 0.520031;8.802172;6.720784;2.081387;15.305445;11.686275;0.904793;0.0000;
;324.00; 0.517230;8.815928;6.733196;2.082732;14.734603;11.253605;0.870250;0.0000;
;345.60; 0.520349;8.827870;6.731331;2.096540;15.036810;11.465703;0.892777;0.0000;
;367.20; 0.525165;8.780399;6.700350;2.080048;14.623970;11.159598;0.866093;0.0000;
;388.80; 0.525384;8.452323;6.382643;2.069680;14.567270;11.000252;0.891755;0.0000;
;410.40; 0.524098;8.102612;6.053139;2.049473;14.318545;10.696816;0.905432;0.0000;
;432.00; 0.515739;7.845218;5.816627;2.028591;13.796922;10.229359;0.891891;0.0000;
;453.60; 0.518565;7.811401;5.770089;2.041312;13.486988;9.962505;0.881121;0.0000;
;475.20; 0.520452;7.780553;5.737740;2.042813;13.491441;9.949213;0.885557;0.0000;
;496.80; 0.521632;7.733804;5.689507;2.044297;13.206719;9.715752;0.872742;0.0000;
;518.40; 0.521197;7.719875;5.668544;2.051331;12.965083;9.519991;0.861273;0.0000;
;540.00; 0.518578;7.859051;5.787498;2.071553;13.383141;9.855503;0.881909;0.0000;
;561.60; 0.513580;8.388453;6.313425;2.075028;14.522975;10.930468;0.898127;0.0000;
;583.20; 0.513664;8.887288;6.810963;2.076325;15.492236;11.872807;0.904857;0.0000;
;604.80; 0.516853;9.101980;7.044576;2.057404;15.845663;12.263923;0.895435;0.0000;
;626.40; 0.513521;9.251488;7.186740;2.064747;16.195286;12.580822;0.903616;0.0000;
;648.00; 0.512607;9.566754;7.510904;2.055850;16.809317;13.197075;0.903061;0.0000;
;669.60; 0.509709;9.913911;7.857493;2.056418;17.583168;13.935934;0.911808;0.0000;
;691.20; 0.508697;10.216630;8.176903;2.039727;17.888320;14.316958;0.892841;0.0000;
;712.80; 0.505189;10.556217;8.519411;2.036806;18.705363;15.096192;0.902293;0.0000;
;734.40; 0.507570;10.710403;8.681380;2.029024;19.092130;15.475237;0.904223;0.0000;
;756.00; 0.511171;10.769375;8.739310;2.030066;18.870766;15.313559;0.889302;0.0000;
;777.60; 0.510694;10.829653;8.788809;2.040843;19.263664;15.633435;0.907557;0.0000;
;799.20; 0.510957;10.929928;8.893962;2.035966;19.681620;16.015438;0.916546;0.0000;
;820.80; 0.510990;10.990236;8.944812;2.045424;19.921237;16.213640;0.926899;0.0000;
;842.40; 0.513407;11.010255;8.974268;2.035987;19.877410;16.201733;0.918919;0.0000;
;864.00; 0.514519;10.908415;8.874640;2.033775;19.782885;16.094545;0.922085;0.0000;
;885.60; 0.516484;10.740614;8.710498;2.030116;19.401879;15.734671;0.916802;0.0000;
;907.20; 0.514761;10.511216;8.488167;2.023049;19.355457;15.630195;0.931315;0.0000;
;928.80; 0.515177;10.325274;8.310766;2.014508;18.936094;15.241576;0.923630;0.0000;
