Node 1
;time (s);Interarrival;Wait;Delay;Service;# in node;# in queue;Utilizzation;ploss;
;21.60; 0.472356;2.924959;0.749069;2.175890;3.672154;0.940423;0.546346;0.0000;
;43.20; 0.502251;3.083714;0.663177;2.420536;5.189809;1.116110;0.814740;0.0000;
;64.80; 0.489785;3.726430;1.322980;2.403450;5.963031;2.117032;0.769200;0.0000;
;86.40; 0.531843;3.595268;1.288329;2.306939;5.815649;2.083980;0.746334;0.0000;
;108.00; 0.543733;3.384903;1.118695;2.266208;5.503714;1.818952;0.736952;0.0000;
;129.60; 0.548345;3.094356;0.932271;2.162085;5.256248;1.583608;0.734528;0.0000;
;151.20; 0.544998;3.029021;0.847984;2.181037;5.144296;1.440161;0.740827;0.0000;
;172.80; 0.540465;2.978509;0.880960;2.097548;5.130365;1.517420;0.722589;0.0000;
;194.40; 0.537529;2.927896;0.807035;2.120861;5.056388;1.393725;0.732533;0.0000;
;216.00; 0.522460;3.308588;1.130235;2.178353;5.949745;2.032471;0.783455;0.0000;
;237.60; 0.524335;3.584064;1.424696;2.159369;6.301029;2.504712;0.759263;0.0000;
;259.20; 0.526637;3.473882;1.336896;2.136986;6.332185;2.436892;0.779059;0.0000;
;280.80; 0.520252;3.378292;1.291081;2.087212;6.146824;2.349130;0.759539;0.0000;
;302.40; 0.520031;3.358703;1.277315;2.081387;6.140792;2.335345;0.761090;0.0000;
;324.00; 0.517230;3.294839;1.212106;2.082732;6.020878;2.214963;0.761183;0.0000;
;345.60; 0.520349;3.261525;1.164985;2.096540;6.026263;2.152523;0.774748;0.0000;
;367.20; 0.525165;3.188187;1.108139;2.080048;5.777365;2.008076;0.753858;0.0000;
;388.80; 0.525384;3.134622;1.064942;2.069680;5.826715;1.979541;0.769435;0.0000;
;410.40; 0.524098;3.063903;1.014430;2.049473;5.662190;1.874700;0.757498;0.0000;
;432.00; 0.515739;3.042469;1.013878;2.028591;5.701388;1.899941;0.760290;0.0000;
;453.60; 0.518565;3.069573;1.028261;2.041312;5.748996;1.925827;0.764634;0.0000;
;475.20; 0.520452;3.044530;1.001717;2.042813;5.727295;1.884405;0.768578;0.0000;
;496.80; 0.521632;3.017710;0.973413;2.044297;5.616679;1.811755;0.760985;0.0000;
